"filename", "language", "Rust", "TOML", "comment", "blank", "total"
"c:\code\kionas\server\Cargo.toml", "TOML", 0, 36, 1, 4, 41
"c:\code\kionas\server\build.rs", "Rust", 19, 0, 0, 2, 21
"c:\code\kionas\server\src\auth\jwt.rs", "Rust", 52, 0, 1, 9, 62
"c:\code\kionas\server\src\auth\mod.rs", "Rust", 22, 0, 0, 6, 28
"c:\code\kionas\server\src\auth\persistence.rs", "Rust", 123, 0, 0, 22, 145
"c:\code\kionas\server\src\auth_setup.rs", "Rust", 24, 0, 2, 5, 31
"c:\code\kionas\server\src\consul.rs", "Rust", 52, 0, 0, 7, 59
"c:\code\kionas\server\src\handlers.rs", "Rust", 66, 0, 1, 8, 75
"c:\code\kionas\server\src\janitor\mod.rs", "Rust", 411, 0, 202, 55, 668
"c:\code\kionas\server\src\lib.rs", "Rust", 18, 0, 1, 1, 20
"c:\code\kionas\server\src\main.rs", "Rust", 40, 0, 7, 8, 55
"c:\code\kionas\server\src\parser\mod.rs", "Rust", 5, 0, 0, 2, 7
"c:\code\kionas\server\src\parser\sql.rs", "Rust", 44, 0, 0, 4, 48
"c:\code\kionas\server\src\planner\engine.rs", "Rust", 1198, 0, 176, 159, 1533
"c:\code\kionas\server\src\planner\mod.rs", "Rust", 9, 0, 0, 3, 12
"c:\code\kionas\server\src\planner\stage_extractor.rs", "Rust", 109, 0, 66, 15, 190
"c:\code\kionas\server\src\providers\context_builder.rs", "Rust", 71, 0, 9, 13, 93
"c:\code\kionas\server\src\providers\identifier.rs", "Rust", 8, 0, 10, 1, 19
"c:\code\kionas\server\src\providers\metastore_resolver.rs", "Rust", 98, 0, 24, 15, 137
"c:\code\kionas\server\src\providers\mod.rs", "Rust", 13, 0, 0, 3, 16
"c:\code\kionas\server\src\providers\relation_metadata.rs", "Rust", 57, 0, 31, 9, 97
"c:\code\kionas\server\src\providers\table_provider.rs", "Rust", 88, 0, 13, 13, 114
"c:\code\kionas\server\src\providers\type_mapping.rs", "Rust", 32, 0, 10, 4, 46
"c:\code\kionas\server\src\server.rs", "Rust", 155, 0, 13, 26, 194
"c:\code\kionas\server\src\services\interops_service_server.rs", "Rust", 239, 0, 17, 21, 277
"c:\code\kionas\server\src\services\metastore_client.rs", "Rust", 65, 0, 5, 13, 83
"c:\code\kionas\server\src\services\mod.rs", "Rust", 6, 0, 0, 1, 7
"c:\code\kionas\server\src\services\request_context.rs", "Rust", 64, 0, 2, 9, 75
"c:\code\kionas\server\src\services\warehouse_auth_service.rs", "Rust", 257, 0, 21, 18, 296
"c:\code\kionas\server\src\services\warehouse_service_server.rs", "Rust", 159, 0, 35, 26, 220
"c:\code\kionas\server\src\services\worker_service_client.rs", "Rust", 4, 0, 1, 1, 6
"c:\code\kionas\server\src\session.rs", "Rust", 239, 0, 35, 38, 312
"c:\code\kionas\server\src\statement_handler\ddl\create_database.rs", "Rust", 276, 0, 91, 22, 389
"c:\code\kionas\server\src\statement_handler\ddl\create_schema.rs", "Rust", 328, 0, 78, 25, 431
"c:\code\kionas\server\src\statement_handler\ddl\create_table.rs", "Rust", 814, 0, 77, 29, 920
"c:\code\kionas\server\src\statement_handler\ddl\mod.rs", "Rust", 3, 0, 0, 1, 4
"c:\code\kionas\server\src\statement_handler\dml\insert.rs", "Rust", 327, 0, 58, 30, 415
"c:\code\kionas\server\src\statement_handler\dml\mod.rs", "Rust", 1, 0, 0, 1, 2
"c:\code\kionas\server\src\statement_handler\mod.rs", "Rust", 206, 0, 11, 10, 227
"c:\code\kionas\server\src\statement_handler\query\mod.rs", "Rust", 1, 0, 0, 1, 2
"c:\code\kionas\server\src\statement_handler\query\select.rs", "Rust", 1559, 0, 579, 166, 2304
"c:\code\kionas\server\src\statement_handler\shared\distributed_dag.rs", "Rust", 375, 0, 147, 48, 570
"c:\code\kionas\server\src\statement_handler\shared\helpers.rs", "Rust", 874, 0, 90, 91, 1055
"c:\code\kionas\server\src\statement_handler\shared\mod.rs", "Rust", 2, 0, 0, 1, 3
"c:\code\kionas\server\src\statement_handler\utility\mod.rs", "Rust", 2, 0, 0, 1, 3
"c:\code\kionas\server\src\statement_handler\utility\rbac.rs", "Rust", 261, 0, 79, 17, 357
"c:\code\kionas\server\src\statement_handler\utility\use_warehouse.rs", "Rust", 55, 0, 2, 6, 63
"c:\code\kionas\server\src\tasks\mod.rs", "Rust", 542, 0, 58, 49, 649
"c:\code\kionas\server\src\tests\planner_engine_tests.rs", "Rust", 707, 0, 0, 92, 799
"c:\code\kionas\server\src\tests\planner_stage_extractor_tests.rs", "Rust", 119, 0, 10, 21, 150
"c:\code\kionas\server\src\tests\providers_module_tests.rs", "Rust", 68, 0, 0, 7, 75
"c:\code\kionas\server\src\tests\services_warehouse_service_server_tests.rs", "Rust", 198, 0, 0, 26, 224
